ECG_Max,ECG_SD,ECG_Mean,ECG_Q1,ECG_Q2,ECG_Q3,ECG_AVHR,ECG_IBI,ECG_RMSSD,ECG_pNN20,ECG_pNN50,EDA_SC,EDA_SCL,EDA_SCR,EDA_Max,EDA_SD,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_std,time_skew,time_kurtosis,delta_amp,theta_amp,alpha_amp,beta_amp,delta_psd,theta_psd,alpha_psd,beta_psd,trust level
0.686564647,0.163585688,0.00231738,-0.084133728,0.012340302,0.093488908,182.6484018,328.5,55.49153399,0.896551724,0.413793103,8.265326042,8.226203918,0.177449341,8.887939453,0.364366487,8.265326042,7.951107025,8.226203918,8.556861877,45223.23845,45441.42675,44907.65075,111.6287606,-0.474956015,3.196941319,33.83059995,9.578915447,4.830265826,4.661942698,425.4910902,27.05923257,5.590952461,1.371445008,1
0.797838505,0.160874885,0.003721628,-0.081209252,0.014388784,0.096332524,182.9268293,328,64.70756498,0.896551724,0.517241379,8.187615891,8.104820251,0.207526436,8.887939453,0.394000954,8.187615891,7.851409912,8.104820251,8.516941071,45240.80083,45459.22075,44908.75225,114.922322,-0.532399393,3.392967557,33.14364053,9.287957167,4.768275829,4.727640825,417.4011148,25.7874557,5.492413601,1.410245702,1
0.797838505,0.160746669,0.002266797,-0.085086093,0.008692568,0.096496492,180.5915931,332.2413793,66.60115829,0.964285714,0.571428571,8.067497292,7.997322083,0.183962936,8.880615234,0.363370829,8.067497292,7.727622986,7.997322083,8.301753998,45260.49275,45495.40488,44918.427,115.7508498,-0.454792891,3.345823694,32.45674609,8.847975988,4.759056033,4.701917176,405.0740293,24.06248016,5.500031818,1.394487345,1
0.797838505,0.161232061,0.00292958,-0.084874955,0.011536184,0.098461866,180.5915931,332.2413793,66.2382065,0.928571429,0.535714286,7.953174782,7.900047302,0.148571739,8.655929565,0.290660039,7.953174782,7.69569397,7.900047302,8.157310486,45279.07262,45514.05188,44923.3675,117.1265648,-0.609226942,3.550469227,22.88918343,7.158209011,3.904643347,4.023772418,174.0964692,14.31386189,3.245074721,0.992854471,1
0.797838505,0.161659816,0.002422446,-0.084567234,0.011396923,0.098250729,180.8731809,331.7241379,70.56531928,0.928571429,0.607142857,7.884119835,7.846450806,0.10963604,8.397598267,0.220641523,7.884119835,7.69569397,7.846450806,8.047294617,45307.52619,45537.55125,45011.13438,107.821631,-0.412263591,2.985355983,19.38438151,6.218248943,3.555954136,3.830028788,121.6765628,10.47960752,2.660024697,0.887801198,1
0.797838505,0.159853186,0.003080413,-0.081467558,0.012376241,0.097554425,182.1036107,329.4827586,69.98724374,0.892857143,0.607142857,7.832417336,7.809944153,0.080356102,8.22593689,0.170076169,7.832417336,7.69569397,7.809944153,7.950153351,45326.75744,45562.22213,45038.33413,112.6632803,-0.474186859,3.025130974,18.83656247,5.623471972,3.276477355,3.750130964,114.8755281,8.555464499,2.235700187,0.851465628,1
0.797838505,0.159465476,0.001909962,-0.082303123,0.010206468,0.096534677,180.7792208,331.8965517,70.91871605,0.928571429,0.571428571,7.781146431,7.763442993,0.066207962,8.104248047,0.137404316,7.781146431,7.669868469,7.763442993,7.8515625,45345.67746,45590.21712,45039.08763,122.737114,-0.37997659,2.995772834,16.6074715,5.576151935,3.184826332,3.857858889,84.34238458,8.471253863,2.110047038,0.900831098,1
0.797838505,0.159512278,0.000400581,-0.082559183,0.008602723,0.094829855,181.5336463,330.5172414,75.84052818,0.928571429,0.571428571,7.7308358,7.711334229,0.060543823,7.997436523,0.120952672,7.7308358,7.628726959,7.711334229,7.832756042,45378.62879,45591.99338,45083.29725,110.6053224,-0.323748062,3.069404298,16.71170921,6.904123436,3.25605528,4.027733486,85.85523492,13.24269647,2.218781102,0.98354122,1
0.797838505,0.159335441,0.000606611,-0.081467558,0.009999823,0.094627702,179.9379524,333.4482759,76.35092852,0.928571429,0.571428571,7.679984436,7.689208984,0.046695175,7.899856567,0.125576622,7.679984436,7.604141235,7.689208984,7.787208557,45417.47399,45641.14063,45185.888,92.88446949,0.026689304,2.740075679,15.77105231,6.88029188,3.07744556,3.867271877,76.99724498,13.07082595,1.983496289,0.904585796,1
0.797838505,0.158145278,0.003384383,-0.078635174,0.012290887,0.097361257,180.2175039,332.9310345,73.79387315,0.857142857,0.5,7.628310356,7.642860413,0.051689758,7.851867676,0.148856111,7.628310356,7.550468445,7.642860413,7.728328705,45446.49096,45655.13488,45259.57638,86.15139176,0.03094365,2.459624776,17.23288127,7.32484223,3.223716389,3.861317042,92.45243958,15.12799074,2.207085922,0.903779753,1
