ECG_Max,ECG_SD,alpha_psd,ECG_Mean,ECG_Q1,delta_amp,ECG_Q2,ECG_Q3,beta_amp,ECG_AVHR,ECG_IBI,theta_psd,ECG_RMSSD,time_std,theta_amp,ECG_pNN20,ECG_pNN50,beta_psd,EDA_SC,EDA_SCL,alpha_amp,EDA_SCR,EDA_Max,EDA_SD,delta_psd,EDA_Mean,EDA_Q1,EDA_Q2,EDA_Q3,time_mean,time_max,time_min,time_skew,time_kurtosis,trust level
0.797838505,0.161659816,2.660024697,0.002422446,-0.084567234,19.38438151,0.011396923,0.098250729,3.830028788,180.8731809,331.7241379,10.47960752,70.56531928,107.821631,6.218248943,0.928571429,0.607142857,0.887801198,7.884119835,7.846450806,3.555954136,0.10963604,8.397598267,0.220641523,121.6765628,7.884119835,7.69569397,7.846450806,8.047294617,45307.52619,45537.55125,45011.13438,-0.412263591,2.985355983,1
0.797838505,0.159853186,2.235700187,0.003080413,-0.081467558,18.83656247,0.012376241,0.097554425,3.750130964,182.1036107,329.4827586,8.555464499,69.98724374,112.6632803,5.623471972,0.892857143,0.607142857,0.851465628,7.832417336,7.809944153,3.276477355,0.080356102,8.22593689,0.170076169,114.8755281,7.832417336,7.69569397,7.809944153,7.950153351,45326.75744,45562.22213,45038.33413,-0.474186859,3.025130974,1
0.797838505,0.159465476,2.110047038,0.001909962,-0.082303123,16.6074715,0.010206468,0.096534677,3.857858889,180.7792208,331.8965517,8.471253863,70.91871605,122.737114,5.576151935,0.928571429,0.571428571,0.900831098,7.781146431,7.763442993,3.184826332,0.066207962,8.104248047,0.137404316,84.34238458,7.781146431,7.669868469,7.763442993,7.8515625,45345.67746,45590.21712,45039.08763,-0.37997659,2.995772834,1
0.797838505,0.159512278,2.218781102,0.000400581,-0.082559183,16.71170921,0.008602723,0.094829855,4.027733486,181.5336463,330.5172414,13.24269647,75.84052818,110.6053224,6.904123436,0.928571429,0.571428571,0.98354122,7.7308358,7.711334229,3.25605528,0.060543823,7.997436523,0.120952672,85.85523492,7.7308358,7.628726959,7.711334229,7.832756042,45378.62879,45591.99338,45083.29725,-0.323748062,3.069404298,1
0.797838505,0.159335441,1.983496289,0.000606611,-0.081467558,15.77105231,0.009999823,0.094627702,3.867271877,179.9379524,333.4482759,13.07082595,76.35092852,92.88446949,6.88029188,0.928571429,0.571428571,0.904585796,7.679984436,7.689208984,3.07744556,0.046695175,7.899856567,0.125576622,76.99724498,7.679984436,7.604141235,7.689208984,7.787208557,45417.47399,45641.14063,45185.888,0.026689304,2.740075679,1
0.797838505,0.158145278,2.207085922,0.003384383,-0.078635174,17.23288127,0.012290887,0.097361257,3.861317042,180.2175039,332.9310345,15.12799074,73.79387315,86.15139176,7.32484223,0.857142857,0.5,0.903779753,7.628310356,7.642860413,3.223716389,0.051689758,7.851867676,0.148856111,92.45243958,7.628310356,7.550468445,7.642860413,7.728328705,45446.49096,45655.13488,45259.57638,0.03094365,2.459624776,1
0.797838505,0.155939669,2.447145193,0.002525813,-0.079468492,17.74362333,0.011190278,0.09611914,3.925625784,179.4739556,334.3103448,15.77987,67.24156878,82.86756611,7.468281677,0.821428571,0.464285714,0.934104298,7.580348892,7.612800598,3.391779869,0.055720863,7.851867676,0.17974682,98.36235188,7.580348892,7.438716888,7.612800598,7.703609467,45474.67447,45687.26487,45301.58375,0.132536139,2.200281633,1
0.588381302,0.153652886,2.534258131,0.002812601,-0.075456883,18.46963722,0.011702398,0.09696369,3.953829063,180.8731809,331.7241379,17.68741818,71.89401922,79.87261334,7.932048109,0.821428571,0.5,0.944837127,7.529962044,7.590370178,3.447888107,0.0582827,7.851867676,0.210002772,106.2771559,7.529962044,7.331123352,7.590370178,7.68037796,45498.40036,45689.30975,45342.2495,0.039958431,1.985546175,1
0.646448557,0.153641944,2.208972836,0.003085889,-0.069875221,17.79659747,0.014065339,0.094113336,3.935464182,179.9379524,333.4482759,16.25252082,72.95424202,80.22110947,7.61696689,0.857142857,0.535714286,0.93621008,7.48103466,7.495422363,3.215606819,0.09825119,7.851867676,0.238057226,98.34397521,7.48103466,7.258262634,7.495422363,7.68037796,45521.95256,45727.69638,45359.1695,-0.023338409,2.169134006,1
0.646448557,0.153016957,2.132553728,0.002624001,-0.069149717,17.10552979,0.01394854,0.091402243,3.961082496,179.3814433,334.4827586,15.48423399,71.74483555,77.83786864,7.452580741,0.785714286,0.5,0.949704743,7.430690689,7.387886047,3.165791274,0.131462059,7.851867676,0.250356401,90.44293924,7.430690689,7.185897827,7.387886047,7.646045685,45545.19956,45751.33425,45376.43425,-0.026236453,2.415174278,1
